id,text_id,principle_id,sections,strength,summary,notes
1,1,2,Article 12. Section 12.105,,,"The 2022 UCC amendments introduce a new Article 12 on ""controllable electronic records,"" with Section 12-105 defining ""control"" consistently with DAPL Principle 6 and Section 12-105(d) specifically being compatible with DALP Principle 7."
2,1,3,Art 12. Section 12.105(d),,,
3,2,2,Article 10,,,"Our approach to control aligns with Principle 6 of UNIDROIT’s Principles on Digital Assets and Private Law""  CONSULTATION PAPER NO. 4 September 2023"
4,3,2,Article 5(4),,,"Principles reflected are Principle 8 (innocent acquisition) and a limited reference to Principle 6 (control). Decree-Law No. 25 of 17 March 2023 was drafted with the DAPL Principles in mind. Article 5(4) reflects the innocent acquisition rule by protecting a good-faith acquirer who obtains an entry in the digital circulation register on the basis of a suitable title, while Article 17 refers to control of the means of access to digital financial instruments, though in a regulatory rather than private-law sense."
5,3,4,Article 17,,,
6,4,1,Section 2,,,"The Digital Assets (Scotland) Act 2026 is consistent with several core aspects of the DAPL Principles, particularly Principle 3(1) on digital assets as objects of proprietary rights, Principle 6 on control, and Principle 8 on innocent acquisition.  The Policy Memorandum cites the UNIDROIT Principles, noting that ""a technology neutral approach to defining digital assets aligns with that adopted in cross-jurisdictional statements of relevant private law principles, notably The International Institute for the Unification of Private Law ('UNIDROIT') Principles on Digital Assets and Private Law""."
7,4,2,Section 5,,,
8,4,3,Section 3,,,
9,4,4,Section 4,,,
10,5,5,Article 5,,,
11,5,6,Article 9,,,
12,5,7,Article 15,,,
13,5,8,Article 23,,,
14,5,9,Article 23(3),,,
15,5,10,Article 24,,,
16,5,11,Article 15,,,
